POISSON BOLTZMANN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,GGAS,GSOLV,TOTAL
4929,1523.95,3563.61,5786.91,-3679.16,-8579.67,1817.27,16090.16,0.0,3585.16,-2037.47,16523.07,1547.69,18070.77
4930,1474.68,3615.5,5788.69,-3694.14,-8566.67,1763.83,16050.4,0.0,3585.55,-2031.52,16432.29,1554.03,17986.32
4931,1527.31,3597.64,5789.23,-3669.52,-8580.8,1768.99,16067.09,0.0,3604.71,-2040.46,16499.94,1564.25,18064.19
4932,1517.16,3567.54,5770.07,-3662.36,-8559.28,1757.83,16066.76,0.0,3611.75,-2047.53,16457.73,1564.22,18021.95
4933,1502.09,3601.9,5763.01,-3645.24,-8553.05,1790.24,16008.78,0.0,3593.81,-2038.8,16467.74,1555.0,18022.74
4934,1440.06,3646.25,5822.81,-3679.69,-8566.5,1774.36,16035.64,0.0,3592.64,-2032.57,16472.93,1560.07,18033.0
4935,1529.93,3624.87,5771.02,-3664.11,-8587.91,1772.9,16130.9,0.0,3608.7,-2051.98,16577.61,1556.72,18134.33
4936,1480.38,3656.78,5823.09,-3666.09,-8593.62,1748.06,16097.44,0.0,3609.97,-2043.95,16546.05,1566.02,18112.07
4937,1475.21,3547.36,5760.48,-3679.61,-8577.07,1778.93,16084.76,0.0,3598.48,-2033.72,16390.05,1564.77,17954.81
4938,1537.72,3565.08,5797.8,-3676.68,-8580.74,1761.16,16081.0,0.0,3584.54,-2024.25,16485.34,1560.29,18045.63
4939,1452.64,3658.52,5810.41,-3667.45,-8575.95,1778.95,16012.82,0.0,3574.97,-2014.63,16469.94,1560.34,18030.28
4940,1509.07,3553.48,5807.5,-3664.56,-8582.5,1737.71,16051.65,0.0,3587.61,-2026.79,16412.35,1560.81,17973.17
4941,1490.5,3568.38,5811.36,-3668.6,-8597.23,1741.17,16190.42,0.0,3594.21,-2029.14,16536.01,1565.06,18101.07
4942,1512.22,3578.12,5807.11,-3635.9,-8579.45,1742.98,16022.58,0.0,3599.57,-2047.24,16447.64,1552.33,17999.98
4943,1566.26,3592.6,5801.6,-3684.41,-8571.73,1780.01,16031.25,0.0,3577.05,-2018.25,16515.59,1558.8,18074.39
4944,1469.36,3639.9,5814.18,-3673.52,-8556.05,1746.19,15955.89,0.0,3593.06,-2033.93,16395.95,1559.13,17955.08
4945,1512.61,3626.94,5819.43,-3648.23,-8583.05,1775.95,16043.18,0.0,3586.45,-2025.88,16546.84,1560.57,18107.41
4946,1498.21,3631.08,5772.08,-3641.74,-8569.79,1779.75,16034.35,0.0,3587.7,-2031.63,16503.94,1556.07,18060.01
4947,1464.59,3546.51,5746.93,-3676.02,-8578.63,1775.66,16082.32,0.0,3601.01,-2022.85,16361.37,1578.17,17939.54
4948,1544.03,3639.36,5790.81,-3675.16,-8532.54,1745.82,15927.16,0.0,3587.69,-2024.65,16439.48,1563.04,18002.52
4949,1554.5,3610.31,5809.49,-3706.92,-8563.58,1761.19,16036.49,0.0,3578.35,-2007.0,16501.48,1571.34,18072.82
4950,1504.57,3647.79,5776.6,-3707.15,-8557.67,1769.81,16019.34,0.0,3584.36,-2009.0,16453.27,1575.36,18028.64
