POISSON BOLTZMANN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,GGAS,GSOLV,TOTAL
4986,1523.7,3515.16,5767.95,-3699.92,-8527.35,1713.09,15889.94,0.0,3579.91,-2013.17,16182.57,1566.74,17749.3
4987,1511.78,3712.5,5755.95,-3693.98,-8545.79,1781.72,15968.63,0.0,3571.95,-2006.88,16490.81,1565.07,18055.88
4988,1484.93,3464.28,5841.32,-3648.98,-8566.44,1746.34,15995.55,0.0,3570.64,-1996.83,16317.0,1573.81,17890.81
4989,1485.44,3504.87,5784.48,-3608.82,-8589.79,1773.73,16074.82,0.0,3572.38,-2001.75,16424.73,1570.63,17995.35
4990,1473.28,3626.08,5819.68,-3693.43,-8549.03,1776.82,15993.08,0.0,3575.56,-1999.23,16446.47,1576.32,18022.8
4991,1515.51,3657.11,5798.21,-3750.44,-8524.8,1751.23,15982.25,0.0,3578.69,-1989.7,16429.08,1589.0,18018.08
4992,1510.12,3574.63,5768.74,-3661.37,-8540.74,1791.39,15970.97,0.0,3595.04,-2013.31,16413.75,1581.73,17995.48
4993,1501.82,3639.1,5848.63,-3703.99,-8561.36,1742.98,16023.17,0.0,3583.06,-2004.17,16490.35,1578.88,18069.24
4994,1516.9,3567.83,5782.24,-3675.47,-8537.74,1779.34,15911.34,0.0,3575.95,-2004.3,16344.44,1571.65,17916.09
4995,1438.77,3645.16,5772.35,-3675.54,-8552.11,1785.37,15948.83,0.0,3580.72,-2016.56,16362.83,1564.17,17926.99
4996,1501.0,3606.57,5784.92,-3652.22,-8537.87,1795.2,15916.98,0.0,3577.72,-1996.88,16414.59,1580.84,17995.43
4997,1496.67,3651.32,5843.25,-3667.12,-8545.84,1775.1,15857.76,0.0,3565.14,-1999.54,16411.15,1565.61,17976.75
4998,1459.46,3549.24,5807.12,-3663.34,-8543.99,1772.35,15934.62,0.0,3576.96,-2005.39,16315.46,1571.56,17887.02
4999,1536.96,3637.27,5820.3,-3647.2,-8546.81,1750.49,15855.95,0.0,3566.82,-2010.21,16406.95,1556.61,17963.57
5000,1507.23,3592.36,5784.96,-3736.0,-8515.57,1747.87,15909.67,0.0,3581.35,-2007.47,16290.53,1573.88,17864.41

Receptor Energy Terms
Frame #,BOND,ANGLE,DIHED,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,GGAS,GSOLV,TOTAL
4900,1503.84,3544.39,5789.03,-3600.08,-8565.63,1763.97,15958.74,0.0,3585.46,-2059.69,16394.25,1525.77,17920.02
4901,1466.63,3518.72,5757.94,-3575.0,-8573.79,1754.47,15946.69,0.0,3582.43,-2053.87,16295.66,1528.56,17824.22
4902,1469.68,3604.51,5735.73,-3600.91,-8548.62,1767.71,15927.64,0.0,3587.88,-2049.35,16355.73,1538.54,17894.27
4903,1483.65,3553.99,5759.81,-3623.18,-8550.56,1744.77,15930.09,0.0,3577.21,-2058.42,16298.57,1518.78,17817.35
4904,1527.44,3596.11,5771.86,-3582.9,-8547.33,1742.55,15961.75,0.0,3580.33,-2049.21,16469.48,1531.13,18000.61
4905,1470.16,3520.95,5747.74,-3600.04,-8556.49,1741.14,15898.21,0.0,3582.38,-2044.23,16221.68,1538.15,17759.83
4906,1468.27,3528.67,5784.43,-3636.12,-8548.62,1761.81,15965.06,0.0,3576.54,-2042.05,16323.49,1534.49,17857.99
4907,1510.32,3647.71,5816.08,-3599.08,-8561.91,1748.0,15891.34,0.0,3567.73,-2039.03,16452.46,1528.7,17981.16
4908,1508.44,3532.78,5783.95,-3600.09,-8567.68,1732.2,15955.54,0.0,3592.93,-2059.57,16345.14,1533.35,17878.5
4909,1583.04,3641.17,5767.66,-3568.72,-8532.26,1762.14,15872.23,0.0,3601.1,-2053.17,16525.26,1547.93,18073.19
4910,1506.01,3581.88,5766.71,-3617.48,-8545.46,1739.59,15908.54,0.0,3582.08,-2035.64,16339.79,1546.45,17886.24
4911,1553.6,3603.11,5758.39,-3559.81,-8565.44,1746.33,15959.78,0.0,3605.43,-2068.3,16495.96,1537.13,18033.09
4912,1545.65,3469.23,5768.03,-3586.65,-8534.59,1717.42,15953.13,0.0,3603.41,-2058.9,16332.21,1544.51,17876.72
4913,1501.2,3589.96,5757.21,-3620.3,-8543.14,1739.54,15944.14,0.0,3595.0,-2055.35,16368.62,1539.65,17908.27
4914,1523.91,3571.96,5767.72,-3566.21,-8579.0,1738.3,16023.83,0.0,3602.17,-2068.23,16480.5,1533.94,18014.44
4915,1533.86,3568.14,5776.4,-3624.95,-8542.39,1718.03,16001.55,0.0,3589.01,-2033.48,16430.64,1555.54,17986.17
4916,1483.67,3528.31,5808.62,-3651.11,-8561.31,1748.58,16053.9,0.0,3574.4,-2032.44,16410.65,1541.96,17952.61
4917,1496.93,3783.03,5838.78,-3620.43,-8558.39,1776.45,15925.89,0.0,3575.5,-2047.13,16642.27,1528.37,18170.64
4918,1495.36,3492.47,5724.95,-3589.07,-8560.61,1770.08,16028.31,0.0,3586.18,-2046.02,16361.5,1540.16,17901.65
4919,1509.76,3656.06,5799.8,-3641.59,-8546.26,1755.05,15977.76,0.0,3570.89,-2028.75,16510.58,1542.14,18052.72
4920,1487.82,3635.79,5761.53,-3662.07,-8526.64,1729.37,15961.67,0.0,3595.99,-2047.9,16387.47,1548.09,17935.56
4921,1487.87,3535.93,5793.4,-3635.58,-8563.64,1756.73,16035.68,0.0,3582.63,-2025.2,16410.4,1557.43,17967.83
4922,1458.34,3695.94,5773.28,-3634.51,-8548.44,1787.1,15923.26,0.0,3576.21,-2030.24,16454.98,1545.97,18000.95
4923,1468.46,3628.79,5772.53,-3633.58,-8549.47,1737.85,15954.55,0.0,3578.67,-2026.89,16379.14,1551.77,17930.91
4924,1496.5,3575.56,5778.9,-3663.38,-8576.6,1736.09,16049.5,0.0,3570.94,-2024.73,16396.57,1546.21,17942.78
4925,1425.9,3511.27,5746.22,-3627.23,-8584.65,1766.99,16063.86,0.0,3582.28,-2041.69,16302.36,1540.59,17842.94
4926,1558.31,3669.96,5789.78,-3599.84,-8559.7,1747.97,15908.68,0.0,3589.45,-2057.49,16515.15,1531.96,18047.11
4927,1472.2,3580.02,5843.66,-3623.85,-8587.89,1736.4,16011.46,0.0,3575.81,-2035.78,16432.0,1540.03,17972.03
4928,1513.75,3597.91,5810.02,-3625.4,-8607.89,1733.78,16095.58,0.0,3576.32,-2032.37,16517.77,1543.95,18061.72
4929,1456.9,3534.61,5755.76,-3615.25,-8573.19,1768.99,16042.42,0.0,3568.65,-2026.01,16370.24,1542.64,17912.89
4930,1532.17,3611.68,5823.0,-3644.78,-8556.54,1744.08,15900.19,0.0,3563.19,-2011.75,16409.8,1551.44,17961.24
4931,1490.03,3557.92,5815.23,-3647.25,-8591.54,1762.74,16046.86,0.0,3580.52,-2038.75,16433.99,1541.77,17975.76
4932,1542.74,3577.8,5826.13,-3614.54,-8569.7,1707.9,15988.3,0.0,3577.06,-2025.31,16458.63,1551.75,18010.38
4933,1535.8,3590.29,5821.79,-3648.0,-8584.59,1753.97,15981.56,0.0,3562.52,-2013.38,16450.81,1549.14,17999.95
4934,1524.57,3582.64,5793.16,-3608.29,-8576.47,1756.15,16041.24,0.0,3575.08,-2037.67,16513.0,1537.42,18050.42
4935,1488.97,3610.97,5821.4,-3626.24,-8599.47,1761.31,16091.98,0.0,3549.26,-2008.98,16548.91,1540.28,18089.19
4936,1516.05,3584.86,5777.91,-3598.37,-8568.71,1742.18,15969.86,0.0,3573.54,-2030.33,16423.78,1543.21,17966.99
4937,1489.66,3482.89,5775.62,-3644.04,-8589.04,1777.69,16089.76,0.0,3576.35,-2030.45,16382.53,1545.89,17928.43
4938,1439.91,3520.74,5795.56,-3636.33,-8556.33,1752.95,15953.28,0.0,3559.84,-2014.45,16269.78,1545.39,17815.17
4939,1482.94,3572.16,5740.91,-3588.4,-8588.6,1775.85,16066.53,0.0,3576.58,-2031.42,16461.39,1545.16,18006.55
4940,1421.43,3562.0,5786.59,-3633.44,-8564.74,1761.68,16020.49,0.0,3572.28,-2030.68,16354.01,1541.6,17895.62
4941,1487.73,3507.88,5770.19,-3645.42,-8549.18,1741.79,15969.62,0.0,3565.76,-2034.77,16282.61,1530.99,17813.6
4942,1415.91,3596.38,5775.34,-3639.48,-8563.89,1750.76,16004.27,0.0,3581.01,-2032.3,16339.29,1548.72,17888.01
4943,1522.33,3589.4,5764.55,-3614.78,-8569.56,1755.49,16015.36,0.0,3585.42,-2052.05,16462.79,1533.37,17996.16
4944,1448.89,3591.19,5719.22,-3613.45,-8557.18,1770.61,15995.09,0.0,3577.78,-2034.97,16354.36,1542.81,17897.17
4945,1562.57,3651.46,5766.59,-3601.85,-8569.33,1742.11,15975.38,0.0,3570.36,-2022.46,16526.93,1547.9,18074.83
4946,1402.01,3617.8,5779.93,-3574.71,-8579.11,1764.45,16003.58,0.0,3579.43,-2028.08,16413.96,1551.35,17965.31
4947,1453.97,3579.05,5773.24,-3638.33,-8571.27,1769.11,16048.25,0.0,3571.24,-2021.91,16414.02,1549.33,17963.35
4948,1504.03,3533.4,5845.18,-3587.68,-8599.05,1741.2,16000.09,0.0,3575.31,-2031.55,16437.18,1543.76,17980.94
4949,1519.08,3547.37,5831.73,-3639.23,-8563.43,1748.47,15978.39,0.0,3578.17,-2034.5,16422.39,1543.67,17966.06
4950,1529.8,3627.29,5809.21,-3666.3,-8580.6,1744.93,16054.62,0.0,3547.71,-2014.1,16518.95,1533.61,18052.56
4951,1458.7,3474.09,5776.2,-3597.42,-8595.38,1729.48,16015.18,0.0,3561.32,-2022.55,16260.84,1538.76,17799.6
4952,1475.82,3617.7,5770.57,-3666.05,-8568.07,1749.21,15994.12,0.0,3580.4,-2035.14,16373.31,1545.27,17918.58
4953,1468.05,3638.37,5796.03,-3640.6,-8593.07,1748.5,16052.68,0.0,3567.87,-2024.43,16469.97,1543.45,18013.41
4954,1547.76,3551.94,5800.02,-3650.3,-8570.14,1727.51,16011.76,0.0,3581.32,-2027.81,16418.56,1553.51,17972.06
4955,1410.09,3511.14,5818.53,-3619.06,-8585.8,1774.51,16062.32,0.0,3581.21,-2023.66,16371.73,1557.55,17929.28
4956,1511.41,3526.86,5778.25,-3634.64,-8571.23,1742.23,15975.05,0.0,3561.26,-2009.39,16327.93,1551.86,17879.79
4957,1492.02,3665.97,5800.73,-3576.0,-8572.05,1781.11,15967.77,0.0,3569.79,-2028.82,16559.54,1540.97,18100.51
4958,1495.7,3624.3,5771.42,-3652.48,-8568.22,1755.97,15952.29,0.0,3559.41,-2011.16,16378.98,1548.25,17927.23
4959,1500.31,3684.25,5801.49,-3617.12,-8564.77,1745.18,15922.05,0.0,3578.4,-2034.45,16471.38,1543.95,18015.34
4960,1518.09,3590.85,5775.15,-3584.15,-8588.71,1738.21,16023.32,0.0,3584.39,-2042.33,16472.76,1542.06,18014.82
4961,1508.05,3592.97,5782.57,-3647.1,-8559.12,1716.55,15970.33,0.0,3586.12,-2052.0,16364.25,1534.12,17898.37
4962,1499.28,3521.39,5773.59,-3624.51,-8584.47,1760.35,16042.8,0.0,3586.15,-2037.03,16388.42,1549.12,17937.54
4963,1499.26,3637.38,5775.95,-3580.57,-8572.46,1773.1,15947.09,0.0,3583.36,-2038.71,16479.75,1544.65,18024.39
4964,1472.63,3532.39,5778.71,-3661.28,-8576.06,1769.28,15962.57,0.0,3571.17,-2020.29,16278.25,1550.88,17829.12
4965,1476.12,3609.06,5788.2,-3651.85,-8571.31,1760.93,15969.83,0.0,3563.78,-2013.79,16380.99,1549.98,17930.97
4966,1493.55,3553.83,5801.59,-3623.22,-8561.07,1770.48,16005.37,0.0,3572.34,-2021.62,16440.54,1550.72,17991.26
4967,1538.53,3510.92,5791.86,-3634.91,-8551.59,1735.18,15938.74,0.0,3567.44,-2015.15,16328.73,1552.29,17881.02
4968,1455.53,3556.29,5770.77,-3640.25,-8555.21,1754.75,15987.06,0.0,3561.76,-2007.54,16328.95,1554.22,17883.17
4969,1550.58,3563.58,5768.25,-3642.42,-8545.37,1777.08,15967.59,0.0,3574.68,-2021.79,16439.3,1552.89,17992.19
4970,1527.84,3578.1,5735.44,-3621.37,-8545.36,1782.29,15973.02,0.0,3567.99,-2019.63,16429.96,1548.36,17978.32
4971,1530.98,3627.63,5722.54,-3608.2,-8530.84,1766.68,15891.08,0.0,3583.66,-2031.5,16399.87,1552.16,17952.03
4972,1495.13,3557.79,5776.41,-3641.42,-8549.91,1761.54,15979.64,0.0,3572.42,-2017.98,16379.18,1554.44,17933.63
4973,1531.08,3517.12,5785.5,-3661.43,-8555.34,1741.35,16018.75,0.0,3566.52,-2009.91,16377.04,1556.61,17933.65
4974,1494.7,3626.09,5766.53,-3690.95,-8556.94,1763.12,16032.21,0.0,3554.35,-2009.29,16434.78,1545.06,17979.83
4975,1486.62,3591.17,5762.0,-3645.38,-8569.63,1755.73,16024.13,0.0,3562.7,-2021.76,16404.63,1540.93,17945.57
