time,value,system,replica,metric
73.4,4.299594,M1-CN045,replica1,Drug - Asp105 minimum distance
73.6,4.524122,M1-CN045,replica1,Drug - Asp105 minimum distance
73.8,4.313456,M1-CN045,replica1,Drug - Asp105 minimum distance
74.0,4.257546,M1-CN045,replica1,Drug - Asp105 minimum distance
74.2,3.979108,M1-CN045,replica1,Drug - Asp105 minimum distance
74.4,4.837003,M1-CN045,replica1,Drug - Asp105 minimum distance
74.6,4.339748,M1-CN045,replica1,Drug - Asp105 minimum distance
74.8,4.512838,M1-CN045,replica1,Drug - Asp105 minimum distance
75.0,5.079732999999999,M1-CN045,replica1,Drug - Asp105 minimum distance
75.2,4.515364,M1-CN045,replica1,Drug - Asp105 minimum distance
75.4,3.502258,M1-CN045,replica1,Drug - Asp105 minimum distance
75.6,4.28432,M1-CN045,replica1,Drug - Asp105 minimum distance
75.8,4.007553,M1-CN045,replica1,Drug - Asp105 minimum distance
76.0,3.587883,M1-CN045,replica1,Drug - Asp105 minimum distance
76.2,4.041558,M1-CN045,replica1,Drug - Asp105 minimum distance
76.4,4.0107219999999995,M1-CN045,replica1,Drug - Asp105 minimum distance
76.6,3.281844,M1-CN045,replica1,Drug - Asp105 minimum distance
76.8,4.080027,M1-CN045,replica1,Drug - Asp105 minimum distance
77.0,4.594899,M1-CN045,replica1,Drug - Asp105 minimum distance
77.2,4.076088,M1-CN045,replica1,Drug - Asp105 minimum distance
77.4,4.705615,M1-CN045,replica1,Drug - Asp105 minimum distance
77.6,4.689935,M1-CN045,replica1,Drug - Asp105 minimum distance
