system,replica,angle_bin_center,prob
M1-Clemastine,replica2,87.5,0.0001999600079984003
M1-Clemastine,replica2,92.5,0.0
M1-Clemastine,replica2,97.5,0.0
M1-Clemastine,replica2,102.5,0.0
M1-Clemastine,replica2,107.5,0.0
M1-Clemastine,replica2,112.5,0.0
M1-Clemastine,replica2,117.5,0.0001999600079984003
M1-Clemastine,replica2,122.5,0.0
M1-Clemastine,replica2,127.5,0.0001999600079984003
M1-Clemastine,replica2,132.5,0.0
M1-Clemastine,replica2,137.5,0.0001999600079984003
M1-Clemastine,replica2,142.5,0.0005998800239952009
M1-Clemastine,replica2,147.5,0.0007998400319936012
M1-Clemastine,replica2,152.5,0.0013997200559888023
M1-Clemastine,replica2,157.5,0.0021995600879824036
M1-Clemastine,replica2,162.5,0.008998200359928014
M1-Clemastine,replica2,167.5,0.01739652069586083
M1-Clemastine,replica2,172.5,0.04399120175964807
M1-Clemastine,replica2,177.5,0.07198560287942411
M1-Clemastine,replica3,-177.5,0.1299740051989602
M1-Clemastine,replica3,-172.5,0.13897220555888823
M1-Clemastine,replica3,-167.5,0.11617676464707058
M1-Clemastine,replica3,-162.5,0.07418516296740651
M1-Clemastine,replica3,-157.5,0.041791641671665665
M1-Clemastine,replica3,-152.5,0.01899620075984803
M1-Clemastine,replica3,-147.5,0.006998600279944011
M1-Clemastine,replica3,-142.5,0.0027994401119776045
M1-Clemastine,replica3,-137.5,0.001799640071985603
M1-Clemastine,replica3,-132.5,0.0003999200159968006
M1-Clemastine,replica3,-127.5,0.0003999200159968006
M1-Clemastine,replica3,-122.5,0.0001999600079984003
M1-Clemastine,replica3,-117.5,0.0
M1-Clemastine,replica3,-112.5,0.0
M1-Clemastine,replica3,-107.5,0.0
M1-Clemastine,replica3,-102.5,0.0
M1-Clemastine,replica3,-97.5,0.0
M1-Clemastine,replica3,-92.5,0.0
M1-Clemastine,replica3,-87.5,0.0001999600079984003
M1-Clemastine,replica3,-82.5,0.0
M1-Clemastine,replica3,-77.5,0.0
M1-Clemastine,replica3,-72.5,0.0
M1-Clemastine,replica3,-67.5,0.0001999600079984003
M1-Clemastine,replica3,-62.5,0.0
M1-Clemastine,replica3,-57.5,0.0
M1-Clemastine,replica3,-52.5,0.0001999600079984003
M1-Clemastine,replica3,-47.5,0.0
M1-Clemastine,replica3,-42.5,0.0
M1-Clemastine,replica3,-37.5,0.0003999200159968006
M1-Clemastine,replica3,-32.5,0.0
M1-Clemastine,replica3,-27.5,0.0
M1-Clemastine,replica3,-22.5,0.0
M1-Clemastine,replica3,-17.5,0.0001999600079984003
M1-Clemastine,replica3,-12.5,0.0
M1-Clemastine,replica3,-7.5,0.0
M1-Clemastine,replica3,-2.5,0.0
M1-Clemastine,replica3,2.5,0.0
M1-Clemastine,replica3,7.5,0.0
M1-Clemastine,replica3,12.5,0.0
M1-Clemastine,replica3,17.5,0.0
M1-Clemastine,replica3,22.5,0.0
M1-Clemastine,replica3,27.5,0.0
M1-Clemastine,replica3,32.5,0.0
M1-Clemastine,replica3,37.5,0.0007998400319936012
M1-Clemastine,replica3,42.5,0.0027994401119776045
M1-Clemastine,replica3,47.5,0.01219756048790242
M1-Clemastine,replica3,52.5,0.028394321135772844
M1-Clemastine,replica3,57.5,0.05638872225554889
M1-Clemastine,replica3,62.5,0.0611877624475105
M1-Clemastine,replica3,67.5,0.05658868226354729
M1-Clemastine,replica3,72.5,0.03139372125574885
M1-Clemastine,replica3,77.5,0.014197160567886422
M1-Clemastine,replica3,82.5,0.004399120175964807
M1-Clemastine,replica3,87.5,0.0001999600079984003
M1-Clemastine,replica3,92.5,0.0001999600079984003
M1-Clemastine,replica3,97.5,0.0
M1-Clemastine,replica3,102.5,0.0
M1-Clemastine,replica3,107.5,0.0
M1-Clemastine,replica3,112.5,0.0
M1-Clemastine,replica3,117.5,0.0
M1-Clemastine,replica3,122.5,0.0
M1-Clemastine,replica3,127.5,0.0
M1-Clemastine,replica3,132.5,0.0
M1-Clemastine,replica3,137.5,0.0
M1-Clemastine,replica3,142.5,0.0
M1-Clemastine,replica3,147.5,0.0001999600079984003
M1-Clemastine,replica3,152.5,0.0001999600079984003
M1-Clemastine,replica3,157.5,0.003199360127974405
M1-Clemastine,replica3,162.5,0.008398320335932814
M1-Clemastine,replica3,167.5,0.023595280943811237
M1-Clemastine,replica3,172.5,0.0651869626074785
M1-Clemastine,replica3,177.5,0.09658068386322735
